"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200211,0,1,62147.3387105864,62147.3387105864,1864420.2,29,30,30,174834447675.709,158802.22476561,290.8978634304,290.8978634304
200212,0,1,269583.937864088,269583.937864088,8357102.1,30,31,31,332379347503.958,214966.144975788,291.761696644645,291.761696644645
200301,0,1,318456.445019816,318456.445019816,9872149.8,30,31,31,329929566281.976,214172.482588494,292.642983969032,292.642983969032
200302,0,1,170532.338678238,170532.338678238,4774905.5,27,28,28,182156124484.498,168531.657279303,293.476483268,293.476483268
200303,0,1,159349.529918524,159349.529918524,4939835.4,30,31,31,271875962635.175,194418.88978552,294.3106608,294.3106608
200304,0,1,224094.87544693,224094.87544693,6722846.3,29,30,30,62269085730.6346,94771.842523478,295.1737781016,295.1737781016
200305,1,1,195815.373035391,195815.347236847,6070275.8,28,29,31,64540186883.5821,98345.0204505912,296.0379856,296.036686932965
200305,2,1,218410.006946494,218410.006946494,2402510.1,10,11,11,375050752.223492,150099.745908102,295.753968096,295.753968096
200305,2,2,181996.778063959,181996.741221773,3639934.8,17,18,20,13296312.1272606,37317.7654162376,296.1941952272,296.209459555556
200305,3,1,157161.667374858,157161.667374858,785808.3,4,5,5,274959820.724779,115096.92418871,295.6698672,295.6698672
200305,3,2,269450.289922856,269450.289922856,1616701.7,5,6,6,48067238.1795403,47821.3979191483,295.824052176,295.824052176
200305,3,3,181996.778063959,181996.741221773,3639934.8,17,18,20,13296312.1272606,37317.7654162376,296.1941952272,296.209459555556
200305,4,1,157161.667374858,157161.667374858,785808.3,4,5,5,274959820.724779,115096.92418871,295.6698672,295.6698672
200305,4,2,269450.289922856,269450.289922856,1616701.7,5,6,6,48067238.1795403,47821.3979191483,295.824052176,295.824052176
200305,4,3,192999.965740294,192999.978613131,2315999.7,9,10,12,3861037.5421525,17780.123682027,296.081628868,296.0865913872
200305,4,4,168259.853117848,168259.853117848,1346078.8,7,8,8,17184786.3785426,29639.7936171707,296.363044766,296.363044766
200305,5,1,157161.667374858,157161.667374858,785808.3,4,5,5,274959820.724779,115096.92418871,295.6698672,295.6698672
200305,5,2,269450.289922856,269450.289922856,1616701.7,5,6,6,48067238.1795403,47821.3979191483,295.824052176,295.824052176
200305,5,3,192999.965740294,192999.978613131,2315999.7,9,10,12,3861037.5421525,17780.123682027,296.081628868,296.0865913872
200305,5,4,175578.86228191,175578.86228191,877894.3,4,5,5,854489.546365251,6416.26772297645,296.3202191456,296.3202191456
200305,5,5,156061.504511078,156061.504511078,468184.5,2,3,3,37698478.012412,56040.8173274295,296.4344208,296.4344208
200305,6,1,157161.667374858,157161.667374858,785808.3,4,5,5,274959820.724779,115096.92418871,295.6698672,295.6698672
200305,6,2,269450.289922856,269450.289922856,1616701.7,5,6,6,48067238.1795403,47821.3979191483,295.824052176,295.824052176
200305,6,3,186791.35553656,186791.35553656,560374.1,2,3,3,266993.100369234,4716.20388170793,295.9530352,295.9530352
200305,6,4,195652.644112263,195652.618160771,1760873.6,6,7,9,4408113.99669572,18876.0716506559,296.124493424,296.143829753143
200305,6,5,175578.86228191,175578.86228191,877894.3,4,5,5,854489.546365251,6416.26772297645,296.3202191456,296.3202191456
200305,6,6,156061.504511078,156061.504511078,468184.5,2,3,3,37698478.012412,56040.8173274295,296.4344208,296.4344208
200305,7,1,157161.667374858,157161.667374858,785808.3,4,5,5,274959820.724779,115096.92418871,295.6698672,295.6698672
200305,7,2,269450.289922856,269450.289922856,1616701.7,5,6,6,48067238.1795403,47821.3979191483,295.824052176,295.824052176
200305,7,3,186791.35553656,186791.35553656,560374.1,2,3,3,266993.100369234,4716.20388170793,295.9530352,295.9530352
200305,7,4,198512.9006459,198512.905560781,1191077.4,3,4,6,6602723.46605131,28327.8270487106,296.082796936,296.095787268
200305,7,5,191857.166014003,191857.166014003,575571.5,2,3,3,4679577.66654397,19744.488253039,296.2078864,296.2078864
200305,7,6,175578.86228191,175578.86228191,877894.3,4,5,5,854489.546365251,6416.26772297645,296.3202191456,296.3202191456
200305,7,7,156061.504511078,156061.504511078,468184.5,2,3,3,37698478.012412,56040.8173274295,296.4344208,296.4344208
200305,8,1,145095.037183642,145095.037183642,580380.1,3,4,4,215902499.712347,107991.428043236,295.6557088,295.6557088
200305,8,2,244233.525422899,244233.525422899,732700.6,2,3,3,404200259.368166,183502.018621411,295.7548176,295.7548176
200305,8,3,272357.337852041,272357.337852041,1089429.4,3,4,4,97758135.2351384,72666.9451449255,295.851590264,295.851590264
200305,8,4,186791.35553656,186791.35553656,560374.1,2,3,3,266993.100369234,4716.20388170793,295.9530352,295.9530352
200305,8,5,198512.9006459,198512.905560781,1191077.4,3,4,6,6602723.46605131,28327.8270487106,296.082796936,296.095787268
200305,8,6,191857.166014003,191857.166014003,575571.5,2,3,3,4679577.66654397,19744.488253039,296.2078864,296.2078864
200305,8,7,175578.86228191,175578.86228191,877894.3,4,5,5,854489.546365251,6416.26772297645,296.3202191456,296.3202191456
200305,8,8,156061.504511078,156061.504511078,468184.5,2,3,3,37698478.012412,56040.8173274295,296.4344208,296.4344208
200305,9,1,145095.037183642,145095.037183642,580380.1,3,4,4,215902499.712347,107991.428043236,295.6557088,295.6557088
200305,9,2,244233.525422899,244233.525422899,732700.6,2,3,3,404200259.368166,183502.018621411,295.7548176,295.7548176
200305,9,3,272357.337852041,272357.337852041,1089429.4,3,4,4,97758135.2351384,72666.9451449255,295.851590264,295.851590264
200305,9,4,186791.35553656,186791.35553656,560374.1,2,3,3,266993.100369234,4716.20388170793,295.9530352,295.9530352
200305,9,5,199783.073978231,199783.149680135,998915.7,2,3,5,9931868.88816507,47940.9670954115,296.0691057632,296.077298757333
200305,9,6,194142.080320819,194142.080320819,582426.2,2,3,3,749540.803740588,7902.05762128328,296.1795696,296.1795696
200305,9,7,180460.220350003,180460.220350003,541380.7,2,3,3,15353107.1431111,35763.5558333526,296.26452,296.26452
200305,9,8,174793.180253368,174793.180253368,524379.5,2,3,3,466258.826877427,6232.41100098912,296.347912976,296.347912976
200305,9,9,156061.504511078,156061.504511078,468184.5,2,3,3,37698478.012412,56040.8173274295,296.4344208,296.4344208
200306,0,1,197597.532391974,197597.532391974,5927926,29,30,30,172518255757.255,157746.818432665,296.8990003792,296.8990003792
200307,0,1,101494.726669752,101494.726669752,3146336.5,30,31,31,60779032747.7676,91924.2181997427,297.764707526194,297.764707526194
200308,0,1,40608.4205842645,40608.4205842645,1258861,30,31,31,20131459968.7718,52904.2654384129,298.642679044645,298.642679044645
200309,0,1,37977.2556822358,37977.2556822358,1139317.7,29,30,30,14475635491.5051,45694.2863410772,299.5063263728,299.5063263728
