"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,6,1,18180122.6568545,18180122.6568545,54540368,2,3,3,13318418423482.8,33309558.7489328,289.6383888,289.6383888
200210,6,2,10591157.5454102,10591157.5454102,42364630.2,3,4,4,3148793046111.91,13041649.0051075,289.736329532,289.736329532
200210,6,3,5994095.57219377,5994095.57219377,41958669,6,7,7,218885756320.208,3271519.32393285,289.892572532571,289.892572532571
200210,6,4,3892943.68371533,3892943.68371533,11678831.1,2,3,3,55955404138.7254,2159054.32792728,290.034824,290.034824
200210,6,5,4871539.49236589,4871539.49236589,24357697.5,4,5,5,451087265066.937,4661861.67415646,290.1471567456,290.1471567456
200210,6,6,8648188.34836772,8648202.63341377,77833823.7,6,7,9,1530455338870.8,11122323.917958,290.345270517333,290.325415046857
200210,7,1,18180122.6568545,18180122.6568545,54540368,2,3,3,13318418423482.8,33309558.7489328,289.6383888,289.6383888
200210,7,2,10591157.5454102,10591157.5454102,42364630.2,3,4,4,3148793046111.91,13041649.0051075,289.736329532,289.736329532
200210,7,3,5876402.64090163,5876402.64090163,23505610.6,3,4,4,573067747434.015,5563696.51417314,289.8507648,289.8507648
200210,7,4,6151019.48058328,6151019.48058328,18453058.4,2,3,3,364834524218.589,5513032.04115716,289.948316176,289.948316176
200210,7,5,3892943.68371533,3892943.68371533,11678831.1,2,3,3,55955404138.7254,2159054.32792728,290.034824,290.034824
200210,7,6,4871539.49236589,4871539.49236589,24357697.5,4,5,5,451087265066.937,4661861.67415646,290.1471567456,290.1471567456
200210,7,7,8648188.34836772,8648202.63341377,77833823.7,6,7,9,1530455338870.8,11122323.917958,290.345270517333,290.325415046857
200210,8,1,18180122.6568545,18180122.6568545,54540368,2,3,3,13318418423482.8,33309558.7489328,289.6383888,289.6383888
200210,8,2,10591157.5454102,10591157.5454102,42364630.2,3,4,4,3148793046111.91,13041649.0051075,289.736329532,289.736329532
200210,8,3,6037679.90152858,6037679.90152858,18113039.7,2,3,3,1093923472980.24,9546320.76222037,289.8366064,289.8366064
200210,8,4,5908335.82247117,5908335.82247117,17725007.5,2,3,3,430983972462.388,5992018.03797715,289.9215568,289.9215568
200210,8,5,4498800.33277067,4498800.33277067,13496401,2,3,3,671926911068.649,7481756.50235726,290.004949776,290.004949776
200210,8,6,5385502.67312333,5385502.67312333,16156508,2,3,3,1170714276577.41,9875702.74630282,290.0914576,290.0914576
200210,8,7,4168080.44288352,4168080.44288352,12504241.3,2,3,3,6223360944.1641,720037.386984962,290.174850576,290.174850576
200210,8,8,8648188.34836772,8648202.63341377,77833823.7,6,7,9,1530455338870.8,11122323.917958,290.345270517333,290.325415046857
200210,9,1,18180122.6568545,18180122.6568545,54540368,2,3,3,13318418423482.8,33309558.7489328,289.6383888,289.6383888
200210,9,2,10591157.5454102,10591157.5454102,42364630.2,3,4,4,3148793046111.91,13041649.0051075,289.736329532,289.736329532
200210,9,3,6037679.90152858,6037679.90152858,18113039.7,2,3,3,1093923472980.24,9546320.76222037,289.8366064,289.8366064
200210,9,4,5908335.82247117,5908335.82247117,17725007.5,2,3,3,430983972462.388,5992018.03797715,289.9215568,289.9215568
200210,9,5,4498800.33277067,4498800.33277067,13496401,2,3,3,671926911068.649,7481756.50235726,290.004949776,290.004949776
200210,9,6,5385502.67312333,5385502.67312333,16156508,2,3,3,1170714276577.41,9875702.74630282,290.0914576,290.0914576
200210,9,7,4168080.44288352,4168080.44288352,12504241.3,2,3,3,6223360944.1641,720037.386984962,290.174850576,290.174850576
200210,9,8,7351272.49007002,7351272.49007002,22053817.5,2,3,3,725431412508.434,7773931.88184635,290.2613584,290.2613584
200210,9,9,9620296.42746728,9620337.73147661,57722026.4,3,4,6,4260067896515.78,22754116.0313258,290.387226576,290.373457532
200211,0,1,25097012.4339305,25097012.4339305,752910373,29,30,30,10500469749480058,38917724.8778673,290.8978634304,290.8978634304
200212,0,1,53332364.3925711,53332364.3925711,1653303296.2,30,31,31,150930643509061760,144857759.805124,291.761696644645,291.761696644645
200301,0,1,112089249.803367,112089249.803367,3474766743.9,30,31,31,441171070384334912,247660397.588974,292.642983969032,292.642983969032
200302,0,1,134317419.296099,134317419.296099,3760887740.3,27,28,28,298827148546305408,215858735.180943,293.476483268,293.476483268
200303,0,1,320536200.411969,320536200.411969,9936622212.8,30,31,31,2001158156124740096,527465136.226347,294.3106608,294.3106608
200304,0,1,223178482.762532,223178482.762532,6695354482.9,29,30,30,2094598208767911680,549659126.569135,295.1737781016,295.1737781016
200305,1,1,427339722.885727,427339311.691985,13247518662.5,28,29,31,7523938426059517952,1061841957.5757,296.0379856,296.036686932965
200305,2,1,730175204.812026,730175204.812026,10952628072.2,14,15,15,16356079049095272,1099641058.18042,295.8111397152,295.8111397152
200305,2,2,102859637.409032,102859409.443806,1645750551.1,13,14,16,358343681226105,181478862.993786,296.250653617,296.278344666286
200305,3,1,157952576.014138,157952576.014138,789762880.1,4,5,5,4259409229856456,453005822.118553,295.6698672,295.6698672
200305,3,2,1016286519.21097,1016286519.21097,10162865192.1,9,10,10,9964657197931636,752718691.928589,295.8817759728,295.8817759728
200305,3,3,102859637.409032,102859409.443806,1645750551.1,13,14,16,358343681226105,181478862.993786,296.250653617,296.278344666286
200305,4,1,157952576.014138,157952576.014138,789762880.1,4,5,5,4259409229856456,453005822.118553,295.6698672,295.6698672
200305,4,2,773995258.957479,773995258.957479,3095981035.8,3,4,4,9489221360701076,715938533.455139,295.7972928,295.7972928
