"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,6,5,544534.310088576,544534.310088576,2178137.2,3,4,4,1583973105.04847,292505.711440372,290.105616,290.105616
200210,6,6,-83724.2807835751,-83723.6830004137,-920960.5,8,9,11,5195078266.00261,646403.680847281,290.316717744,290.294929539556
200210,7,1,758253.229797888,758253.229797888,2274759.7,2,3,3,1380018868.45436,339066.641343565,289.6383888,289.6383888
200210,7,2,723996.497664092,723996.497664092,3619982.5,4,5,5,191391485.929471,96026.3467959705,289.7507215456,289.7507215456
200210,7,3,868197.383092224,868197.383092224,2604592.1,2,3,3,3040400633.91151,503278.015118893,289.8649232,289.8649232
200210,7,4,722317.820537503,722317.820537503,2166953.5,2,3,3,387757696.088677,179730.906734749,289.948316176,289.948316176
200210,7,5,654036.214998528,654036.214998528,1962108.6,2,3,3,1205671530.97498,316925.40593428,290.034824,290.034824
200210,7,6,528060.24940032,528060.24940032,1584180.7,2,3,3,2623288430.20148,467482.732705234,290.1197744,290.1197744
200210,7,7,-83724.2807835751,-83723.6830004137,-920960.5,8,9,11,5195078266.00261,646403.680847281,290.316717744,290.294929539556
200210,8,1,758253.229797888,758253.229797888,2274759.7,2,3,3,1380018868.45436,339066.641343565,289.6383888,289.6383888
200210,8,2,723996.497664092,723996.497664092,3619982.5,4,5,5,191391485.929471,96026.3467959705,289.7507215456,289.7507215456
200210,8,3,868197.383092224,868197.383092224,2604592.1,2,3,3,3040400633.91151,503278.015118893,289.8649232,289.8649232
200210,8,4,707021.12289095,707021.12289095,3535105.6,4,5,5,295302308.940219,119278.596743477,289.9772559456,289.9772559456
200210,8,5,544534.310088576,544534.310088576,2178137.2,3,4,4,1583973105.04847,292505.711440372,290.105616,290.105616
200210,8,6,-103232.72421322,-103232.72421322,-309698.2,2,3,3,14990005799.4849,1117489.50367957,290.203167376,290.203167376
200210,8,7,-225729.25143552,-225729.25143552,-677187.8,2,3,3,-5.61975597067218e-14,NA,290.2896752,290.2896752
200210,8,8,77810.4293834606,77816.3108366527,389081.6,2,3,5,24010646132.737,2357182.59329917,290.4010734912,290.391946042667
200210,9,1,758253.229797888,758253.229797888,2274759.7,2,3,3,1380018868.45436,339066.641343565,289.6383888,289.6383888
200210,9,2,723996.497664092,723996.497664092,3619982.5,4,5,5,191391485.929471,96026.3467959705,289.7507215456,289.7507215456
200210,9,3,868197.383092224,868197.383092224,2604592.1,2,3,3,3040400633.91151,503278.015118893,289.8649232,289.8649232
200210,9,4,722317.820537503,722317.820537503,2166953.5,2,3,3,387757696.088677,179730.906734749,289.948316176,289.948316176
200210,9,5,654036.214998528,654036.214998528,1962108.6,2,3,3,1205671530.97498,316925.40593428,290.034824,290.034824
200210,9,6,528060.24940032,528060.24940032,1584180.7,2,3,3,2623288430.20148,467482.732705234,290.1197744,290.1197744
200210,9,7,-103232.72421322,-103232.72421322,-309698.2,2,3,3,14990005799.4849,1117489.50367957,290.203167376,290.203167376
200210,9,8,-225729.25143552,-225729.25143552,-677187.8,2,3,3,-5.61975597067218e-14,NA,290.2896752,290.2896752
200210,9,9,77810.4293834606,77816.3108366527,389081.6,2,3,5,24010646132.737,2357182.59329917,290.4010734912,290.391946042667
200211,0,1,302391.728618386,302391.728618386,9071751.9,29,30,30,465308463163.191,259067.870538032,290.8978634304,290.8978634304
200212,0,1,821966.149771968,821966.149771968,25480950.6,30,31,31,44593323118833.8,2489934.77957782,291.761696644645,291.761696644645
200301,0,1,1033205.62015055,1033205.62015055,32029374.2,30,31,31,80975616061157.2,3355290.93245597,292.642983969032,292.642983969032
200302,0,1,355493.579568337,355493.579568337,9953820.2,27,28,28,412203714199.767,253521.942031641,293.476483268,293.476483268
200303,0,1,1872540.48392003,1872540.48392003,58048755,30,31,31,143762215252075,4470698.9992814,294.3106608,294.3106608
200304,0,1,2217373.23272524,2217373.23272524,66521197,29,30,30,217886547546123,5606067.05660569,295.1737781016,295.1737781016
200305,1,1,3437283.43422113,3437279.93375575,106555677.9,28,29,31,424958707311699,7980142.22915371,296.0379856,296.036686932965
200305,2,1,5783184.14745832,5783184.14745832,86747762.2,14,15,15,887930020553.527,8102158.15556244,295.8111397152,295.8111397152
200305,2,2,923700.809867387,923700.400542474,14779206.4,13,14,16,6403793343.37581,767175.682596242,296.250653617,296.278344666286
200305,3,1,1802844.55389911,1802844.55389911,9014222.8,4,5,5,571771532447.092,5248562.39226059,295.6698672,295.6698672
200305,3,2,8191759.64448071,8191759.64448071,73725836.8,8,9,9,564024268133.29,5510696.49981435,295.867046517333,295.867046517333
200305,3,3,1129290.05723818,1129288.28580886,19197900.9,14,15,17,47837386667.2478,2131339.98277435,296.236752879059,296.260744426667
200305,4,1,1802844.55389911,1802844.55389911,9014222.8,4,5,5,571771532447.092,5248562.39226059,295.6698672,295.6698672
