"yearmo","strata","strata.n","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s"
200210,9,5,2289098.80163852,2289098.80163852,6867296.4,2,3,3,34174395.8466649,53357.193085799,289.976632976,289.976632976
200210,9,6,2327434.86353357,2327434.86353357,11637174.3,4,5,5,87705011.2152219,65004.1829719541,290.0914576,290.0914576
200210,9,7,2431301.29238159,2431301.29238159,7293903.9,2,3,3,386301413.895675,179393.086061998,290.203167376,290.203167376
200210,9,8,2437875.34463693,2437875.34463693,7313626,2,3,3,39846064.964214,57614.9609017576,290.2896752,290.2896752
200210,9,9,2396159.47066024,2396159.89733588,11980799.5,2,3,5,119640556.646043,166391.261460831,290.4010734912,290.391946042667
200211,0,1,2328589.96071524,2328589.96071524,69857698.8,29,30,30,1636448969799.05,485841.16893514,290.8978634304,290.8978634304
200212,0,1,1765731.84115131,1765731.84115131,54737687.1,30,31,31,3038992905783.69,650006.793883542,291.761696644645,291.761696644645
200301,0,1,1613640.6144681,1613640.6144681,50022859,30,31,31,12030032618826.8,1293261.81651771,292.642983969032,292.642983969032
200302,0,1,2444590.79082101,2444590.79082101,68448542.1,27,28,28,6531006190224.34,1009135.88571746,293.476483268,293.476483268
200303,0,1,1413139.79896248,1413139.79896248,43807333.8,30,31,31,23924061976848.4,1823771.86731675,294.3106608,294.3106608
200304,0,1,1006863.40019577,1006863.40019577,30205902,29,30,30,1565441894033.26,475183.722703083,295.1737781016,295.1737781016
200305,1,1,831662.635294935,831662.615096232,25781541.1,28,29,31,2794331826155.83,647107.233171732,296.0379856,296.036686932965
200305,2,1,1292275.73321626,1292275.73321626,6461378.7,4,5,5,1241782004.49354,244597.368749193,295.6698672,295.6698672
200305,2,2,735686.406573586,735686.856287131,19127858.3,23,24,26,1901009218.15691,488978.942110895,296.1087776,296.113107710667
200305,3,1,1292275.73321626,1292275.73321626,6461378.7,4,5,5,1241782004.49354,244597.368749193,295.6698672,295.6698672
200305,3,2,557868.718166215,557868.713538249,7810162,11,12,14,1028734535.03077,297989.160874692,295.939210533714,295.919609577333
200305,3,3,913562.56076862,913562.56076862,10962750.7,11,12,12,1199029626.43956,275750.923056771,296.306605844,296.306605844
200305,4,1,1292275.73321626,1292275.73321626,6461378.7,4,5,5,1241782004.49354,244597.368749193,295.6698672,295.6698672
200305,4,2,533931.733922764,533931.733922764,5339317.3,9,10,10,1113134529.55291,251579.556292348,295.8817759728,295.8817759728
200305,4,3,777434.152633436,777434.588777055,7774345.9,7,8,10,729901539.021886,241460.034905709,296.1663456544,296.193728
200305,4,4,1016227.72789346,1016227.72789346,6097366.4,5,6,6,656743124.909761,176764.663220218,296.391166888,296.391166888
200305,5,1,1292275.73321626,1292275.73321626,6461378.7,4,5,5,1241782004.49354,244597.368749193,295.6698672,295.6698672
200305,5,2,613220.796301824,613220.796301824,3066104,4,5,5,553818519.422589,163347.629729144,295.8114512,295.8114512
200305,5,3,454642.671543704,454642.671543704,2273213.4,4,5,5,1302139660.19192,250471.250032471,295.9521007456,295.9521007456
200305,5,4,777434.152633436,777434.588777055,7774345.9,7,8,10,729901539.021886,241460.034905709,296.1663456544,296.193728
200305,5,5,1016227.72789346,1016227.72789346,6097366.4,5,6,6,656743124.909761,176764.663220218,296.391166888,296.391166888
200305,6,1,1292275.73321626,1292275.73321626,6461378.7,4,5,5,1241782004.49354,244597.368749193,295.6698672,295.6698672
200305,6,2,613220.796301824,613220.796301824,3066104,4,5,5,553818519.422589,163347.629729144,295.8114512,295.8114512
200305,6,3,454642.671543704,454642.671543704,2273213.4,4,5,5,1302139660.19192,250471.250032471,295.9521007456,295.9521007456
200305,6,4,731485.180628292,731485.617301217,5120399.3,4,5,7,587170406.031746,235471.968716512,296.124270934857,296.1512528
200305,6,5,888312.545445225,888312.545445225,4441562.7,4,5,5,509215185.164362,156631.740167234,296.2919023456,296.2919023456
200305,6,6,1054523.18322547,1054523.18322547,4218092.7,3,4,4,155619724.257069,91683.8347248886,296.4202624,296.4202624
200305,7,1,1292275.73321626,1292275.73321626,6461378.7,4,5,5,1241782004.49354,244597.368749193,295.6698672,295.6698672
200305,7,2,613220.796301824,613220.796301824,3066104,4,5,5,553818519.422589,163347.629729144,295.8114512,295.8114512
200305,7,3,425399.456133711,425399.456133711,1701597.8,3,4,4,747111134.641894,200887.564423601,295.936540664,295.936540664
200305,7,4,642075.372053148,642076.985230028,3210384.9,2,3,5,1489001979.07741,587001.132685178,296.0691057632,296.077298757333
200305,7,5,782451.891522432,782451.891522432,3129807.6,3,4,4,255851848.81763,117558.687494226,296.193728,296.193728
200305,7,6,903712.607557955,903712.607557955,3614850.4,3,4,4,455526009.828268,156861.743795761,296.305827132,296.305827132
200305,7,7,1054523.18322547,1054523.18322547,4218092.7,3,4,4,155619724.257069,91683.8347248886,296.4202624,296.4202624
200305,8,1,1292275.73321626,1292275.73321626,6461378.7,4,5,5,1241782004.49354,244597.368749193,295.6698672,295.6698672
