"yearmo","strata","dload.bi_kgd","dload.ub_kgd","tload_kglenS","degf","lenObs","lenStr","MSE_kglenS","Cl_kglenS","flowmu_m3s","flowav_m3s","variable"
200306,0,1418.51335494927,1418.51335494927,42555.4,29,30,30,66602026.1746168,3099.46545484387,296.8990003792,296.8990003792,"TKN"
200307,0,2687.84589016071,2687.84589016071,83323.2,30,31,31,28739842.0051134,1998.91920668587,297.764707526194,297.764707526194,"TKN"
200308,0,1906.91132283415,1906.91132283415,59114.3,30,31,31,52971791.7316203,2713.78466619273,298.642679044645,298.642679044645,"TKN"
200309,0,1907.45386087879,1907.45386087879,57223.6,29,30,30,45411733.8118178,2559.33491386858,299.5063263728,299.5063263728,"TKN"
200210,7,2274089.95313096,2274090.02194961,70496790.7,17.5622607852645,29,31,18232659335.729,67814.2959224868,290.034070407742,290.032598238624,"Si"
200211,0,2328589.96071524,2328589.96071524,69857698.8,29,30,30,1636448969799.05,485841.16893514,290.8978634304,290.8978634304,"Si"
200212,0,1765731.84115131,1765731.84115131,54737687.1,30,31,31,3038992905783.69,650006.793883542,291.761696644645,291.761696644645,"Si"
200301,0,1613640.6144681,1613640.6144681,50022859,30,31,31,12030032618826.8,1293261.81651771,292.642983969032,292.642983969032,"Si"
200302,0,2444590.79082101,2444590.79082101,68448542.1,27,28,28,6531006190224.34,1009135.88571746,293.476483268,293.476483268,"Si"
200303,0,1413139.79896248,1413139.79896248,43807333.8,30,31,31,23924061976848.4,1823771.86731675,294.3106608,294.3106608,"Si"
200304,0,1006863.40019577,1006863.40019577,30205902,29,30,30,1565441894033.26,475183.722703083,295.1737781016,295.1737781016,"Si"
200305,9,819426.066503691,819426.32669351,25402216.2,9.69554272598108,29,31,103419998590.154,231105.443882887,296.0379856,296.039307050667,"Si"
200306,0,828975.046518474,828975.046518474,24869251.4,29,30,30,3025524982725.85,660607.425767503,296.8990003792,296.8990003792,"Si"
200307,0,477666.105444217,477666.105444217,14807649.3,30,31,31,1215935532882.63,411157.605105756,297.764707526194,297.764707526194,"Si"
200308,0,600191.954990604,600191.954990604,18605950.6,30,31,31,1413312008575.04,443273.814837244,298.642679044645,298.642679044645,"Si"
200309,0,665432.159321581,665432.159321581,19962964.8,29,30,30,1468353534853.03,460212.484657441,299.5063263728,299.5063263728,"Si"
200210,6,27524.4887481284,27524.4906803447,853259.2,16.3127787684369,29,31,59680074.1867476,4048.46933752401,290.034070407742,290.027332607871,"SO4"
200211,0,25762.0241879194,25762.0241879194,772860.7,29,30,30,281339923.547555,6370.28352448061,290.8978634304,290.8978634304,"SO4"
200212,0,32181.9844830143,32181.9844830143,997641.5,30,31,31,2220619600.50117,17570.7434311972,291.761696644645,291.761696644645,"SO4"
200301,0,31037.9370699565,31037.9370699565,962176,30,31,31,1458428292.04766,14239.5279732241,292.642983969032,292.642983969032,"SO4"
200302,0,39345.2809551994,39345.2809551994,1101667.9,27,28,28,1139694529.4343,13330.7269956261,293.476483268,293.476483268,"SO4"
200303,0,43481.4402088243,43481.4402088243,1347924.6,30,31,31,4042152087.85224,23706.0599198892,294.3106608,294.3106608,"SO4"
200304,0,35967.6502598991,35967.6502598991,1079029.5,29,30,30,7977419853.53545,33921.4418844906,295.1737781016,295.1737781016,"SO4"
200305,4,43446.7624679177,43446.7615641591,1346849.7,15.7488493129513,29,31,1166312876.53192,18266.8126863372,296.0379856,296.048615361342,"SO4"
200306,0,5875.59960273162,5875.59960273162,176268,29,30,30,211700437264.371,174744.677690632,296.8990003792,296.8990003792,"SO4"
200307,0,33906.8656191729,33906.8656191729,1051112.8,30,31,31,2070939073.42772,16968.2367047933,297.764707526194,297.764707526194,"SO4"
200308,0,29918.820571889,29918.820571889,927483.4,30,31,31,835188390.397766,10775.6946709588,298.642679044645,298.642679044645,"SO4"
200309,0,38605.0221094184,38605.0221094184,1158150.7,29,30,30,1244389273.22832,13397.4211254941,299.5063263728,299.5063263728,"SO4"
200210,7,493.1881880797,493.187135678137,15288.7,6.74739535260461,29,31,1126404.64142029,973.523558611052,290.034070407742,290.032598238624,"Cl"
200211,0,62147.3387105864,62147.3387105864,1864420.2,29,30,30,174834447675.709,158802.22476561,290.8978634304,290.8978634304,"Cl"
200212,0,269583.937864088,269583.937864088,8357102.1,30,31,31,332379347503.958,214966.144975788,291.761696644645,291.761696644645,"Cl"
200301,0,318456.445019816,318456.445019816,9872149.8,30,31,31,329929566281.976,214172.482588494,292.642983969032,292.642983969032,"Cl"
200302,0,170532.338678238,170532.338678238,4774905.5,27,28,28,182156124484.498,168531.657279303,293.476483268,293.476483268,"Cl"
200303,0,159349.529918524,159349.529918524,4939835.4,30,31,31,271875962635.175,194418.88978552,294.3106608,294.3106608,"Cl"
200304,0,224094.87544693,224094.87544693,6722846.3,29,30,30,62269085730.6346,94771.842523478,295.1737781016,295.1737781016,"Cl"
200305,7,195987.479673591,195987.480624858,6075611.8,6.84688265896057,29,31,9247281815.03383,87296.1049559388,296.0379856,296.040499857806,"Cl"
200306,0,197597.532391974,197597.532391974,5927926,29,30,30,172518255757.255,157746.818432665,296.8990003792,296.8990003792,"Cl"
200307,0,101494.726669752,101494.726669752,3146336.5,30,31,31,60779032747.7676,91924.2181997427,297.764707526194,297.764707526194,"Cl"
200308,0,40608.4205842645,40608.4205842645,1258861,30,31,31,20131459968.7718,52904.2654384129,298.642679044645,298.642679044645,"Cl"
200309,0,37977.2556822358,37977.2556822358,1139317.7,29,30,30,14475635491.5051,45694.2863410772,299.5063263728,299.5063263728,"Cl"
